[2018-08-10 05:34:51] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-08-10 05:34:51] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:34:51] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:34:51] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[a9fe2962], hostPort[51267], devIP[a9fe1063]
[2018-08-10 05:34:51] | GigEVisionManager.cpp-L0578: m_nUpNetExport[a9fe2962], m_nUpDevIP[a9fe1063]
[2018-08-10 05:34:51] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:34:51] | GigEVisionManager.cpp-L2755: event thread start...
[2018-08-10 05:34:51] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:34:52] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-08-10 05:34:52] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[2065674720]
[2018-08-10 05:34:52] | GigEVisionManager.cpp-L4486: Lost Frame From Net[15022], Total Frame Count[15023], NetCount[1], CurBlock[15023], LastBlock[0]
[2018-08-10 05:53:46] | GigEVisionManager.cpp-L0282: socket mode start!
[2018-08-10 05:53:46] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:53:46] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:53:46] | GigEVisionManager.cpp-L0824: connecting device ... hostIP[a9fe2962], hostPort[60548], devIP[a9fe1063]
[2018-08-10 05:53:46] | GigEVisionManager.cpp-L0578: m_nUpNetExport[a9fe2962], m_nUpDevIP[a9fe1063]
[2018-08-10 05:53:46] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:53:46] | GigEVisionManager.cpp-L2755: event thread start...
[2018-08-10 05:53:46] |           NetUDP.cpp-L0520: ReCreateSocket NewIp[0], SrcIP[a9fe2962]
[2018-08-10 05:53:47] | GigEVisionManager.cpp-L1158: GetCurCompressMode Execute Fails Node is not readable. : AccessException thrown in node 'ImageCompressionMode' while calling 'ImageCompressionMode.GetIntValue()' (file 'EnumerationT.h', line 131)
[2018-08-10 05:53:47] |   GigEVisionGVSP.cpp-L0271: GVSP GVSPThread Start, ThreadId[2090291072]
[2018-08-10 05:53:47] | GigEVisionManager.cpp-L4486: Lost Frame From Net[15318], Total Frame Count[15319], NetCount[1], CurBlock[15319], LastBlock[0]
[2018-08-10 05:53:47] | GigEVisionManager.cpp-L4506: throw frame from list[3], CurFrameNum[15323], LastFrame[15319]
[2018-08-10 05:53:47] | GigEVisionManager.cpp-L4506: throw frame from list[4], CurFrameNum[15327], LastFrame[15325]
[2018-08-10 05:53:47] | GigEVisionManager.cpp-L4506: throw frame from list[5], CurFrameNum[15329], LastFrame[15327]
[2018-08-10 05:53:47] | GigEVisionManager.cpp-L4506: throw frame from list[6], CurFrameNum[15332], LastFrame[15330]
[2018-08-10 05:53:48] | GigEVisionManager.cpp-L4506: throw frame from list[7], CurFrameNum[15336], LastFrame[15334]
[2018-08-10 05:53:48] | GigEVisionManager.cpp-L4506: throw frame from list[8], CurFrameNum[15341], LastFrame[15339]
[2018-08-10 05:53:48] | GigEVisionManager.cpp-L4506: throw frame from list[9], CurFrameNum[15344], LastFrame[15342]
[2018-08-10 05:53:48] | GigEVisionManager.cpp-L4506: throw frame from list[10], CurFrameNum[15349], LastFrame[15347]
[2018-08-10 05:53:49] | GigEVisionManager.cpp-L4506: throw frame from list[11], CurFrameNum[15357], LastFrame[15355]
[2018-08-10 05:53:49] | GigEVisionManager.cpp-L4506: throw frame from list[12], CurFrameNum[15360], LastFrame[15358]
[2018-08-10 05:53:49] | GigEVisionManager.cpp-L4506: throw frame from list[13], CurFrameNum[15362], LastFrame[15360]
[2018-08-10 05:53:49] | GigEVisionManager.cpp-L4506: throw frame from list[14], CurFrameNum[15364], LastFrame[15362]
[2018-08-10 05:53:49] | GigEVisionManager.cpp-L4506: throw frame from list[15], CurFrameNum[15368], LastFrame[15366]
[2018-08-10 05:53:49] | GigEVisionManager.cpp-L4506: throw frame from list[16], CurFrameNum[15371], LastFrame[15369]
[2018-08-10 05:53:50] | GigEVisionManager.cpp-L4506: throw frame from list[18], CurFrameNum[15381], LastFrame[15378]
[2018-08-10 05:53:50] | GigEVisionManager.cpp-L4506: throw frame from list[21], CurFrameNum[15385], LastFrame[15381]
[2018-08-10 05:53:50] | GigEVisionManager.cpp-L4506: throw frame from list[22], CurFrameNum[15387], LastFrame[15385]
[2018-08-10 05:53:50] | GigEVisionManager.cpp-L4506: throw frame from list[23], CurFrameNum[15389], LastFrame[15387]
[2018-08-10 05:53:51] | GigEVisionManager.cpp-L4506: throw frame from list[27], CurFrameNum[15394], LastFrame[15389]
[2018-08-10 05:53:51] | GigEVisionManager.cpp-L4506: throw frame from list[28], CurFrameNum[15396], LastFrame[15394]
[2018-08-10 05:53:51] | GigEVisionManager.cpp-L4506: throw frame from list[29], CurFrameNum[15400], LastFrame[15398]
[2018-08-10 05:53:51] | GigEVisionManager.cpp-L4506: throw frame from list[30], CurFrameNum[15403], LastFrame[15401]
[2018-08-10 05:53:51] | GigEVisionManager.cpp-L4506: throw frame from list[31], CurFrameNum[15412], LastFrame[15410]
[2018-08-10 05:53:52] | GigEVisionManager.cpp-L4506: throw frame from list[32], CurFrameNum[15414], LastFrame[15412]
[2018-08-10 05:53:52] | GigEVisionManager.cpp-L4506: throw frame from list[33], CurFrameNum[15418], LastFrame[15416]
[2018-08-10 05:53:52] | GigEVisionManager.cpp-L4506: throw frame from list[34], CurFrameNum[15421], LastFrame[15419]
[2018-08-10 05:53:52] | GigEVisionManager.cpp-L4506: throw frame from list[35], CurFrameNum[15426], LastFrame[15424]
[2018-08-10 05:53:52] | GigEVisionManager.cpp-L4506: throw frame from list[36], CurFrameNum[15430], LastFrame[15428]
[2018-08-10 05:53:53] | GigEVisionManager.cpp-L4506: throw frame from list[37], CurFrameNum[15434], LastFrame[15432]
[2018-08-10 05:53:53] | GigEVisionManager.cpp-L4506: throw frame from list[38], CurFrameNum[15438], LastFrame[15436]
[2018-08-10 05:53:53] | GigEVisionManager.cpp-L4506: throw frame from list[39], CurFrameNum[15444], LastFrame[15442]
[2018-08-10 05:53:53] | GigEVisionManager.cpp-L4506: throw frame from list[40], CurFrameNum[15448], LastFrame[15446]
[2018-08-10 05:53:54] | GigEVisionManager.cpp-L4506: throw frame from list[41], CurFrameNum[15454], LastFrame[15452]
[2018-08-10 05:53:54] | GigEVisionManager.cpp-L4506: throw frame from list[42], CurFrameNum[15457], LastFrame[15455]
[2018-08-10 05:53:54] | GigEVisionManager.cpp-L4506: throw frame from list[43], CurFrameNum[15460], LastFrame[15458]
[2018-08-10 05:53:54] | GigEVisionManager.cpp-L4506: throw frame from list[44], CurFrameNum[15463], LastFrame[15461]
[2018-08-10 05:53:54] | GigEVisionManager.cpp-L4506: throw frame from list[45], CurFrameNum[15468], LastFrame[15466]
[2018-08-10 05:53:54] | GigEVisionManager.cpp-L4506: throw frame from list[46], CurFrameNum[15471], LastFrame[15469]
[2018-08-10 05:53:55] | GigEVisionManager.cpp-L4506: throw frame from list[47], CurFrameNum[15475], LastFrame[15473]
[2018-08-10 05:53:55] | GigEVisionManager.cpp-L4506: throw frame from list[48], CurFrameNum[15479], LastFrame[15477]
[2018-08-10 05:53:55] | GigEVisionManager.cpp-L4506: throw frame from list[49], CurFrameNum[15483], LastFrame[15481]
[2018-08-10 05:53:55] | GigEVisionManager.cpp-L4506: throw frame from list[50], CurFrameNum[15487], LastFrame[15485]
[2018-08-10 05:53:55] | GigEVisionManager.cpp-L4506: throw frame from list[51], CurFrameNum[15490], LastFrame[15488]
[2018-08-10 05:53:56] | GigEVisionManager.cpp-L4506: throw frame from list[52], CurFrameNum[15494], LastFrame[15492]
[2018-08-10 05:53:56] | GigEVisionManager.cpp-L4506: throw frame from list[53], CurFrameNum[15497], LastFrame[15495]
[2018-08-10 05:53:56] | GigEVisionManager.cpp-L4506: throw frame from list[54], CurFrameNum[15500], LastFrame[15498]
[2018-08-10 05:53:56] | GigEVisionManager.cpp-L4506: throw frame from list[55], CurFrameNum[15504], LastFrame[15502]
[2018-08-10 05:53:56] | GigEVisionManager.cpp-L4506: throw frame from list[56], CurFrameNum[15506], LastFrame[15504]
[2018-08-10 05:53:56] | GigEVisionManager.cpp-L4506: throw frame from list[57], CurFrameNum[15509], LastFrame[15507]
[2018-08-10 05:53:57] | GigEVisionManager.cpp-L4506: throw frame from list[58], CurFrameNum[15514], LastFrame[15512]
[2018-08-10 05:53:57] | GigEVisionManager.cpp-L4506: throw frame from list[59], CurFrameNum[15519], LastFrame[15517]
[2018-08-10 05:53:57] | GigEVisionManager.cpp-L4506: throw frame from list[60], CurFrameNum[15523], LastFrame[15521]
[2018-08-10 05:53:57] | GigEVisionManager.cpp-L4506: throw frame from list[61], CurFrameNum[15527], LastFrame[15525]
[2018-08-10 05:53:57] | GigEVisionManager.cpp-L4506: throw frame from list[62], CurFrameNum[15531], LastFrame[15529]
[2018-08-10 05:53:58] | GigEVisionManager.cpp-L4506: throw frame from list[63], CurFrameNum[15536], LastFrame[15534]
[2018-08-10 05:53:58] | GigEVisionManager.cpp-L4506: throw frame from list[64], CurFrameNum[15541], LastFrame[15539]
[2018-08-10 05:53:58] | GigEVisionManager.cpp-L4506: throw frame from list[65], CurFrameNum[15551], LastFrame[15549]
[2018-08-10 05:53:59] | GigEVisionManager.cpp-L4506: throw frame from list[66], CurFrameNum[15554], LastFrame[15552]
[2018-08-10 05:53:59] | GigEVisionManager.cpp-L4506: throw frame from list[67], CurFrameNum[15560], LastFrame[15558]
[2018-08-10 05:53:59] | GigEVisionManager.cpp-L4506: throw frame from list[68], CurFrameNum[15564], LastFrame[15562]
[2018-08-10 05:53:59] | GigEVisionManager.cpp-L4506: throw frame from list[69], CurFrameNum[15567], LastFrame[15565]
[2018-08-10 05:54:00] | GigEVisionManager.cpp-L4506: throw frame from list[70], CurFrameNum[15573], LastFrame[15571]
[2018-08-10 05:54:00] | GigEVisionManager.cpp-L4506: throw frame from list[71], CurFrameNum[15575], LastFrame[15573]
[2018-08-10 05:54:00] | GigEVisionManager.cpp-L4506: throw frame from list[72], CurFrameNum[15581], LastFrame[15579]
[2018-08-10 05:54:00] | GigEVisionManager.cpp-L4506: throw frame from list[73], CurFrameNum[15586], LastFrame[15584]
[2018-08-10 05:54:00] | GigEVisionManager.cpp-L4506: throw frame from list[74], CurFrameNum[15589], LastFrame[15587]
[2018-08-10 05:54:01] | GigEVisionManager.cpp-L4506: throw frame from list[75], CurFrameNum[15593], LastFrame[15591]
[2018-08-10 05:54:01] | GigEVisionManager.cpp-L4506: throw frame from list[76], CurFrameNum[15598], LastFrame[15596]
[2018-08-10 05:54:01] | GigEVisionManager.cpp-L4506: throw frame from list[77], CurFrameNum[15602], LastFrame[15600]
[2018-08-10 05:54:01] | GigEVisionManager.cpp-L4506: throw frame from list[78], CurFrameNum[15605], LastFrame[15603]
[2018-08-10 05:54:01] | GigEVisionManager.cpp-L4506: throw frame from list[79], CurFrameNum[15609], LastFrame[15607]
[2018-08-10 05:54:02] | GigEVisionManager.cpp-L4506: throw frame from list[80], CurFrameNum[15613], LastFrame[15611]
[2018-08-10 05:54:02] | GigEVisionManager.cpp-L4506: throw frame from list[81], CurFrameNum[15619], LastFrame[15617]
[2018-08-10 05:54:02] | GigEVisionManager.cpp-L4506: throw frame from list[82], CurFrameNum[15622], LastFrame[15620]
[2018-08-10 05:54:02] | GigEVisionManager.cpp-L4506: throw frame from list[83], CurFrameNum[15625], LastFrame[15623]
[2018-08-10 05:54:02] | GigEVisionManager.cpp-L4506: throw frame from list[84], CurFrameNum[15629], LastFrame[15627]
[2018-08-10 05:54:03] | GigEVisionManager.cpp-L4506: throw frame from list[85], CurFrameNum[15633], LastFrame[15631]
[2018-08-10 05:54:03] | GigEVisionManager.cpp-L4506: throw frame from list[86], CurFrameNum[15637], LastFrame[15635]
[2018-08-10 05:54:03] | GigEVisionManager.cpp-L4506: throw frame from list[87], CurFrameNum[15640], LastFrame[15638]
[2018-08-10 05:54:03] | GigEVisionManager.cpp-L4506: throw frame from list[88], CurFrameNum[15643], LastFrame[15641]
[2018-08-10 05:54:03] | GigEVisionManager.cpp-L4506: throw frame from list[89], CurFrameNum[15647], LastFrame[15645]
[2018-08-10 05:54:03] | GigEVisionManager.cpp-L4506: throw frame from list[90], CurFrameNum[15649], LastFrame[15647]
[2018-08-10 05:54:04] | GigEVisionManager.cpp-L4506: throw frame from list[91], CurFrameNum[15655], LastFrame[15653]
[2018-08-10 05:54:04] | GigEVisionManager.cpp-L4506: throw frame from list[92], CurFrameNum[15658], LastFrame[15656]
[2018-08-10 05:54:04] | GigEVisionManager.cpp-L4506: throw frame from list[93], CurFrameNum[15663], LastFrame[15661]
[2018-08-10 05:54:04] | GigEVisionManager.cpp-L4506: throw frame from list[94], CurFrameNum[15665], LastFrame[15663]
[2018-08-10 05:54:04] | GigEVisionManager.cpp-L4506: throw frame from list[95], CurFrameNum[15669], LastFrame[15667]
[2018-08-10 05:54:05] | GigEVisionManager.cpp-L4506: throw frame from list[96], CurFrameNum[15673], LastFrame[15671]
[2018-08-10 05:54:05] | GigEVisionManager.cpp-L4506: throw frame from list[97], CurFrameNum[15675], LastFrame[15673]
[2018-08-10 05:54:05] | GigEVisionManager.cpp-L4506: throw frame from list[98], CurFrameNum[15678], LastFrame[15676]
[2018-08-10 05:54:05] | GigEVisionManager.cpp-L4506: throw frame from list[99], CurFrameNum[15682], LastFrame[15680]
[2018-08-10 05:54:05] | GigEVisionManager.cpp-L4506: throw frame from list[100], CurFrameNum[15687], LastFrame[15685]
[2018-08-10 05:54:06] | GigEVisionManager.cpp-L4506: throw frame from list[101], CurFrameNum[15692], LastFrame[15690]
[2018-08-10 05:54:06] | GigEVisionManager.cpp-L4506: throw frame from list[102], CurFrameNum[15696], LastFrame[15694]
[2018-08-10 05:54:06] | GigEVisionManager.cpp-L4506: throw frame from list[103], CurFrameNum[15703], LastFrame[15701]
[2018-08-10 05:54:06] | GigEVisionManager.cpp-L4506: throw frame from list[104], CurFrameNum[15706], LastFrame[15704]
[2018-08-10 05:54:06] | GigEVisionManager.cpp-L4506: throw frame from list[105], CurFrameNum[15709], LastFrame[15707]
[2018-08-10 05:54:07] | GigEVisionManager.cpp-L4506: throw frame from list[106], CurFrameNum[15712], LastFrame[15710]
[2018-08-10 05:54:07] | GigEVisionManager.cpp-L4506: throw frame from list[107], CurFrameNum[15719], LastFrame[15717]
[2018-08-10 05:54:07] | GigEVisionManager.cpp-L4506: throw frame from list[108], CurFrameNum[15723], LastFrame[15721]
[2018-08-10 05:54:07] | GigEVisionManager.cpp-L4506: throw frame from list[109], CurFrameNum[15726], LastFrame[15724]
[2018-08-10 05:54:07] | GigEVisionManager.cpp-L4506: throw frame from list[110], CurFrameNum[15729], LastFrame[15727]
[2018-08-10 05:54:08] | GigEVisionManager.cpp-L4506: throw frame from list[111], CurFrameNum[15732], LastFrame[15730]
[2018-08-10 05:54:08] | GigEVisionManager.cpp-L4506: throw frame from list[112], CurFrameNum[15737], LastFrame[15735]
[2018-08-10 05:54:08] | GigEVisionManager.cpp-L4506: throw frame from list[113], CurFrameNum[15740], LastFrame[15738]
[2018-08-10 05:54:08] | GigEVisionManager.cpp-L4506: throw frame from list[114], CurFrameNum[15746], LastFrame[15744]
[2018-08-10 05:54:09] | GigEVisionManager.cpp-L4506: throw frame from list[115], CurFrameNum[15752], LastFrame[15750]
[2018-08-10 05:54:09] | GigEVisionManager.cpp-L4506: throw frame from list[116], CurFrameNum[15756], LastFrame[15754]
[2018-08-10 05:54:09] | GigEVisionManager.cpp-L4506: throw frame from list[117], CurFrameNum[15760], LastFrame[15758]
[2018-08-10 05:54:09] | GigEVisionManager.cpp-L4506: throw frame from list[118], CurFrameNum[15764], LastFrame[15762]
[2018-08-10 05:54:09] | GigEVisionManager.cpp-L4506: throw frame from list[119], CurFrameNum[15768], LastFrame[15766]
[2018-08-10 05:54:10] | GigEVisionManager.cpp-L4506: throw frame from list[120], CurFrameNum[15774], LastFrame[15772]
[2018-08-10 05:54:10] | GigEVisionManager.cpp-L4506: throw frame from list[121], CurFrameNum[15780], LastFrame[15778]
[2018-08-10 05:54:10] | GigEVisionManager.cpp-L4506: throw frame from list[122], CurFrameNum[15782], LastFrame[15780]
[2018-08-10 05:54:10] | GigEVisionManager.cpp-L4506: throw frame from list[123], CurFrameNum[15787], LastFrame[15785]
[2018-08-10 05:54:10] | GigEVisionManager.cpp-L4506: throw frame from list[124], CurFrameNum[15791], LastFrame[15789]
[2018-08-10 05:54:11] | GigEVisionManager.cpp-L4506: throw frame from list[125], CurFrameNum[15797], LastFrame[15795]
[2018-08-10 05:54:11] | GigEVisionManager.cpp-L4506: throw frame from list[126], CurFrameNum[15801], LastFrame[15799]
[2018-08-10 05:54:11] | GigEVisionManager.cpp-L4506: throw frame from list[127], CurFrameNum[15806], LastFrame[15804]
[2018-08-10 05:54:12] | GigEVisionManager.cpp-L4506: throw frame from list[128], CurFrameNum[15812], LastFrame[15810]
[2018-08-10 05:54:12] | GigEVisionManager.cpp-L4506: throw frame from list[129], CurFrameNum[15816], LastFrame[15814]
[2018-08-10 05:54:12] | GigEVisionManager.cpp-L4506: throw frame from list[130], CurFrameNum[15818], LastFrame[15816]
[2018-08-10 05:54:12] | GigEVisionManager.cpp-L4506: throw frame from list[131], CurFrameNum[15823], LastFrame[15821]
