[2018-08-10 05:34:51] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-08-10 05:34:52] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [1050624]
[2018-08-10 05:34:52] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[2057286112]
[2018-08-10 05:34:52] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[2048897504]
[2018-08-10 05:53:46] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-08-10 05:53:47] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [1050624]
[2018-08-10 05:53:47] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1870655360]
[2018-08-10 05:53:47] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1879043968]
[2018-08-10 05:57:54] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-08-10 05:57:55] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [1050624]
[2018-08-10 05:57:55] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1321336960]
[2018-08-10 05:57:55] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1329725568]
[2018-08-10 05:48:49] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-08-10 05:48:50] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [1050624]
[2018-08-10 05:48:50] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-1867690112]
[2018-08-10 05:48:50] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-1859301504]
[2018-08-10 05:57:20] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-08-10 05:57:21] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [1312768]
[2018-08-10 05:57:21] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[1855172480]
[2018-08-10 05:57:21] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[1863561088]
[2018-08-22 04:42:50] | CInterfaceManager.cpp-L4664: CamCtrl[2020009], GigE SDKVersion(1040009), DriverVersion(1040001)
[2018-08-22 04:42:51] | CInterfaceManager.cpp-L1066: remalloc RecvBuf succeed, [309248]
[2018-08-22 04:42:51] | CInterfaceManager.cpp-L4149: Camctrl DisplayThread Start, ThreadId[-2038435968]
[2018-08-22 04:42:51] | CInterfaceManager.cpp-L4335: Camctrl RecvThread Start, ThreadId[-2030047360]
